apartment_id,apartment_name,region_code,region_name,announcement_date,supply_year,supply_quarter,general_supply_units,sale_price,competition_rate,area_m2
2026000155,고덕국제신도시 수자인풍경채 2단지,410,경기,2026-04-29,2026,2,146,66400.0,0.0,101.9956
2026000154,고덕국제신도시 수자인풍경채 1단지,410,경기,2026-04-29,2026,2,37,55850.0,0.0,84.9865
2026000111,더 플래티넘 파인애비뉴,410,경기,2026-04-29,2026,2,321,0.0,0.0,0.0
2026000133,더샵 시에르네(조합원 취소분),680,울산,2026-04-28,2026,2,36,0.0,0.0,0.0
2026000156,더 리치먼드 미아,100,서울,2026-04-27,2026,2,7,95300.0,0.0,59.84
2026000146,기장 이진캐스빌 포레,600,부산,2026-04-24,2026,2,138,0.0,69.0,0.0
2026000143,파주금촌 금호어울림(조합원 취소분),410,경기,2026-04-24,2026,2,60,0.0,32.0,0.0
2026000129,더샵 관저아르테,300,대전,2026-04-24,2026,2,951,0.0,0.0,0.0
2026000127,천안 휴먼빌 퍼스트시티(2회차),312,충남,2026-04-24,2026,2,309,0.0,0.0,0.0
2026000102,울산신복역 비스타 메트로,680,울산,2026-04-24,2026,2,481,0.0,0.0,0.0
2026000096,천안 동문 디 이스트 파크시티,312,충남,2026-04-24,2026,2,500,0.0,0.0,0.0
2026000091,소제지구 A4BL 중흥S-클래스 우미린,513,전남,2026-04-24,2026,2,584,0.0,0.0,0.0
2026000090,소제지구 A3BL 중흥S-클래스 우미린,513,전남,2026-04-24,2026,2,1095,0.0,0.0,0.0
2026000152,e편한세상 부천 어반스퀘어,410,경기,2026-04-23,2026,2,897,0.0,70.0,0.0
2026000150,엘리프 성성호수공원 2BL,312,충남,2026-04-23,2026,2,560,0.0,5.37,0.0
2026000149,엘리프 성성호수공원 1BL,312,충남,2026-04-23,2026,2,546,0.0,48.27,0.0
2026000130,PH159,690,제주,2026-04-20,2026,2,49,0.0,6.0,0.0
2026000088,용인 양지 서희스타힐스 하이뷰,410,경기,2026-04-20,2026,2,547,0.0,0.0,0.0
2026000124,고덕신도시 아테라 A-63블록 공공분양주택,410,경기,2026-04-17,2026,2,630,0.0,0.0,0.0
2026000115,두산위브더제니스 구미(조합원취소분),712,경북,2026-04-17,2026,2,63,0.0,0.0,0.0
2026000114,공덕역자이르네,100,서울,2026-04-17,2026,2,177,0.0,0.0,0.0
2026000107,경기광주역 롯데캐슬 시그니처 1단지,410,경기,2026-04-17,2026,2,1077,0.0,0.0,0.0
2026000089,강릉 우미 린 더 프리미어,200,강원,2026-04-17,2026,2,772,0.0,0.0,0.0
2026000113,동탄 그웬 160 (동탄2 B11BL),410,경기,2026-04-16,2026,2,160,0.0,0.0,0.0
2026000135,인천가정2지구 B2블록 공공분양주택(후속사업),400,인천,2026-04-15,2026,2,308,0.0,0.0,0.0
2026000121,문수로 라티에르 673,680,울산,2026-04-10,2026,2,199,0.0,0.0,0.0
2026000112,용인 고림 동문 디 이스트,410,경기,2026-04-10,2026,2,350,0.0,0.0,0.0
2026000110,엘리프 창원,621,경남,2026-04-10,2026,2,349,0.0,0.0,0.0
2026000109,아산경남아너스빌 랜드마크49,312,충남,2026-04-10,2026,2,467,0.0,0.0,0.0
2026000105,도안자이 센텀리체 2단지,300,대전,2026-04-10,2026,2,834,0.0,0.0,0.0
2026000104,도안자이 센텀리체 1단지,300,대전,2026-04-10,2026,2,946,0.0,0.0,0.0
2026000087,청주 푸르지오 씨엘리체,360,충북,2026-04-10,2026,2,1351,0.0,0.0,0.0
2026000085,힐스테이트 평거 센트럴,621,경남,2026-04-10,2026,2,261,0.0,0.0,0.0
2026000082,골드클래스 시그니처,560,전북,2026-04-10,2026,2,341,0.0,0.0,0.0
2026000093,더샵 안동더퍼스트,712,경북,2026-04-09,2026,2,493,0.0,0.0,0.0
2026000049,"옥정중앙역 대방 디에트르(중상1, 복합1BL)",410,경기,2026-04-09,2026,2,2807,0.0,0.0,0.0
2026000069,야목역 서희스타힐스 그랜드힐,410,경기,2026-04-06,2026,2,241,0.0,0.0,0.0
2026000101,온천장 하늘채 엘리시움,600,부산,2026-04-03,2026,2,129,0.0,0.0,0.0
2026000094,라클라체자이드파인,100,서울,2026-04-03,2026,2,369,0.0,0.0,0.0
2026000086,업성 푸르지오 레이크시티,312,충남,2026-04-03,2026,2,1460,0.0,0.0,0.0
2026000077,북전주 광신프로그레스,560,전북,2026-04-03,2026,2,352,0.0,0.0,0.0
2026000073,풍무역세권 수자인 그라센트 2차,410,경기,2026-04-03,2026,2,639,0.0,0.0,0.0
2026000071,르네오션 고성 퍼스트뷰,200,강원,2026-04-03,2026,2,263,0.0,0.0,0.0
2026000058,오티에르 반포,100,서울,2026-03-31,2026,1,86,0.0,0.0,0.0
2026000048,이촌 르엘,100,서울,2026-03-30,2026,1,88,0.0,0.0,0.0
2026000040,구서 다움포레,600,부산,2026-03-30,2026,1,68,0.0,0.0,0.0
2026000078,천안 동일하이빌 파크레인,312,충남,2026-03-27,2026,1,895,0.0,0.0,0.0
2026000074,엄궁역 트라비스 하늘채,600,부산,2026-03-27,2026,1,1061,0.0,0.0,0.0
2026000070,힐스테이트 안양펠루스,410,경기,2026-03-27,2026,1,55,0.0,0.0,0.0
2026000065,검단호수공원역 파라곤(AA36BL),400,인천,2026-03-27,2026,1,569,0.0,0.0,0.0
2026000062,중앙하이츠 갈산역 센트럴,400,인천,2026-03-27,2026,1,50,0.0,0.0,0.0
2026000047,범어역 파크드림 디아르,700,대구,2026-03-27,2026,1,47,0.0,0.0,0.0
2026000012,경성대부경대역 비스타동원 더 프리미엄,600,부산,2026-03-27,2026,1,103,0.0,0.0,0.0
2026000055,의정부역 센트럴 아이파크,410,경기,2026-03-26,2026,1,400,0.0,0.0,0.0
2026000081,선운지구다사로움 공가세대 일반공급,500,광주,2026-03-24,2026,1,27,0.0,0.0,0.0
2026000075,창원자이 더 스카이,621,경남,2026-03-20,2026,1,509,0.0,0.0,0.0
2026000066,한화포레나 부산당리,600,부산,2026-03-20,2026,1,209,0.0,0.0,0.0
2026000064,더샵 신길센트럴시티,100,서울,2026-03-20,2026,1,477,0.0,0.0,0.0
2026000051,아산탕정자이 메트로시티(A3BL),312,충남,2026-03-20,2026,1,1638,0.0,0.0,0.0
2026000045,대전 롯데캐슬 더퍼스트(조합원 취소분),300,대전,2026-03-20,2026,1,89,0.0,0.0,0.0
2025000497,아크로 드 서초,100,서울,2026-03-20,2026,1,56,0.0,0.0,0.0
2026000063,오션포레베네스트하우스(미단시티 공동8BL),400,인천,2026-03-18,2026,1,253,0.0,0.0,0.0
2026000057,에코델타시티 엘가 로제비앙,600,부산,2026-03-16,2026,1,998,0.0,0.0,0.0
2026000052,시흥거모B1 호반써밋,410,경기,2026-03-13,2026,1,310,0.0,0.0,0.0
2026000044,용인 플랫폼시티 라온프라이빗 아르디에,410,경기,2026-03-13,2026,1,238,0.0,0.0,0.0
2026000033,해링턴플레이스 오룡역,300,대전,2026-03-13,2026,1,427,0.0,0.0,0.0
2025000574,무등산 더힐(조합원 취소분),500,광주,2026-03-13,2026,1,33,0.0,0.0,0.0
2026000023,더샵 프리엘라,100,서울,2026-03-12,2026,1,138,0.0,0.0,0.0
2026000038,상주자이르네,712,경북,2026-03-09,2026,1,773,0.0,0.0,0.0
2026000043,부천역 에피트 어바닉,410,경기,2026-03-06,2026,1,93,0.0,0.0,0.0
2026000039,래미안 엘라비네,100,서울,2026-03-06,2026,1,272,0.0,0.0,0.0
2026000036,e편한세상 여수 글렌츠,513,전남,2026-03-06,2026,1,81,0.0,0.0,0.0
2026000029,썬밸리 오드카운티 가평설악,410,경기,2026-03-06,2026,1,1039,0.0,0.0,0.0
2026000046,변동 동건아파트 우선분양전환 후 잔여세대,300,대전,2026-03-05,2026,1,139,0.0,0.0,0.0
2026000035,연수 월드메르디앙 어반포레,400,인천,2026-03-03,2026,1,133,0.0,0.0,0.0
2026000041,마곡지구 17단지 토지임대부(본청약),100,서울,2026-02-27,2026,1,381,0.0,0.0,0.0
2025000510,두산위브 더센트럴 수원,410,경기,2026-02-27,2026,1,275,0.0,0.0,0.0
2026000008,경산 상방공원 호반써밋 1단지,712,경북,2026-02-26,2026,1,1004,0.0,0.0,0.0
