log_cmpet_rate,SUPLY_HSHLDCO,spsply_ratio,SUBSCRPT_RANK_CODE,RESIDE_SECD,SPECLT_RDN_EARTH_AT,MDAT_TRGET_AREA_SECD,PARCPRC_ULS_AT,IMPRMN_BSNS_AT,PUBLIC_HOUSE_EARTH_AT,LRSCL_BLDLND_AT,NPLN_PRVOPR_PUBLIC_HOUSE_AT,log_lttot_top_amount,house_area,is_top_brand,price_rank_in_region,cmpet_rank_in_region,region_score_lag1,region_score_roll5_mean,region_score_roll5_std,notice_year,notice_month,LWET_SCORE
0.0,67,0.7014925373134329,2,1,0,0,0,1,0,0,0,4.660874960312619,59.0,1,0.39753820033955856,0.1865025466893039,10.333333333333334,21.666666666666668,16.027753706895076,2020,2,60.0
3.790950984896305,67,0.7014925373134329,1,1,0,0,0,1,0,0,0,4.660874960312619,59.0,1,0.39753820033955856,0.9538200339558573,10.333333333333334,21.666666666666668,16.027753706895076,2020,2,60.0
0.0,135,0.7333333333333333,2,1,0,0,0,1,0,0,0,4.670255132771604,59.0,1,0.4269100169779287,0.1865025466893039,10.333333333333334,21.666666666666668,16.027753706895076,2020,2,64.0
4.373004576545946,135,0.7333333333333333,1,1,0,0,0,1,0,0,0,4.670255132771604,59.0,1,0.4269100169779287,0.9726655348047538,10.333333333333334,21.666666666666668,16.027753706895076,2020,2,64.0
0.0,110,0.7090909090909091,2,1,0,0,0,1,0,0,0,4.758162201211584,74.0,1,0.6617147707979627,0.1865025466893039,10.333333333333334,21.666666666666668,16.027753706895076,2020,2,64.0
0.5877866649021191,30,0.4666666666666667,2,3,0,0,1,0,1,1,0,4.511763078159342,72.0,0,0.0800509337860781,0.49745331069609505,33.0,33.0,,2020,2,18.0
0.15415067982725825,30,0.4666666666666667,2,1,0,0,1,0,1,1,0,4.511763078159342,72.0,0,0.0800509337860781,0.3935483870967742,33.0,33.0,,2020,2,10.0
0.08152660763420798,259,0.44787644787644787,1,2,0,0,1,0,1,1,0,4.540216818960606,75.0,0,0.11434634974533107,0.38030560271646857,33.0,33.0,,2020,2,10.0
0.20155291872184222,206,0.4563106796116505,2,3,0,0,1,0,1,1,0,4.57473714612604,84.0,0,0.18803056027164686,0.4037351443123939,33.0,33.0,,2020,2,9.0
0.14858738314192954,206,0.4563106796116505,2,2,0,0,1,0,1,1,0,4.57473714612604,84.0,0,0.18803056027164686,0.39286926994906624,33.0,33.0,,2020,2,9.0
0.05661889399950791,206,0.4563106796116505,2,1,0,0,1,0,1,1,0,4.57473714612604,84.0,0,0.18803056027164686,0.3760611205432937,33.0,33.0,,2020,2,12.0
0.16518527455096738,206,0.4563106796116505,1,3,0,0,1,0,1,1,0,4.57473714612604,84.0,0,0.18803056027164686,0.3966044142614601,33.0,33.0,,2020,2,9.0
0.21338737636884506,206,0.4563106796116505,1,2,0,0,1,0,1,1,0,4.57473714612604,84.0,0,0.18803056027164686,0.40458404074702886,33.0,33.0,,2020,2,9.0
