CMPET_RATE,HOUSE_MANAGE_NO,HOUSE_TY,MODEL_NO,PBLANC_NO,REQ_CNT,RESIDE_SECD,RESIDE_SENM,SUBSCRPT_RANK_CODE,SUPLY_HSHLDCO
-,2026000115,074.9524A,01,2026000115,0,02,기타지역,2,1
33.78,2026000115,084.7657A,02,2026000115,777,01,해당지역,1,23
-,2026000115,084.7657A,02,2026000115,71,02,기타지역,1,23
-,2026000115,084.7657A,02,2026000115,0,01,해당지역,2,23
-,2026000115,084.7657A,02,2026000115,0,02,기타지역,2,23
3.83,2026000115,084.7696B,03,2026000115,46,01,해당지역,1,12
-,2026000115,084.7696B,03,2026000115,6,02,기타지역,1,12
-,2026000115,084.7696B,03,2026000115,55,01,해당지역,2,12
-,2026000115,084.7696B,03,2026000115,20,02,기타지역,2,12
75.68,2026000114,048.6543 ,01,2026000114,1438,01,해당지역,1,19
-,2026000114,048.6543 ,01,2026000114,0,02,기타지역,1,19
-,2026000114,048.6543 ,01,2026000114,0,01,해당지역,2,19
-,2026000114,048.6543 ,01,2026000114,0,02,기타지역,2,19
100.08,2026000114,052.7960A,02,2026000114,1301,01,해당지역,1,13
-,2026000114,052.7960A,02,2026000114,0,02,기타지역,1,13
-,2026000114,052.7960A,02,2026000114,0,01,해당지역,2,13
-,2026000114,052.7960A,02,2026000114,0,02,기타지역,2,13
81.00,2026000114,052.7960B,03,2026000114,162,01,해당지역,1,2
-,2026000114,052.7960B,03,2026000114,0,02,기타지역,1,2
-,2026000114,052.7960B,03,2026000114,0,01,해당지역,2,2
-,2026000114,052.7960B,03,2026000114,0,02,기타지역,2,2
75.00,2026000114,052.7960C,04,2026000114,150,01,해당지역,1,2
-,2026000114,052.7960C,04,2026000114,0,02,기타지역,1,2
-,2026000114,052.7960C,04,2026000114,0,01,해당지역,2,2
-,2026000114,052.7960C,04,2026000114,0,02,기타지역,2,2
87.53,2026000114,059.9880A,05,2026000114,1488,01,해당지역,1,17
-,2026000114,059.9880A,05,2026000114,0,02,기타지역,1,17
-,2026000114,059.9880A,05,2026000114,0,01,해당지역,2,17
-,2026000114,059.9880A,05,2026000114,0,02,기타지역,2,17
70.00,2026000114,059.2820B,06,2026000114,2100,01,해당지역,1,30
-,2026000114,059.2820B,06,2026000114,0,02,기타지역,1,30
-,2026000114,059.2820B,06,2026000114,0,01,해당지역,2,30
-,2026000114,059.2820B,06,2026000114,0,02,기타지역,2,30
3.22,2026000113,102.7378 ,01,2026000113,29,01,해당지역,1,30
2.80,2026000113,102.7378 ,01,2026000113,3,02,기타지역,1,30
7.50,2026000113,102.7378 ,01,2026000113,25,03,기타경기,1,30
-,2026000113,102.7378 ,01,2026000113,22,01,해당지역,2,30
-,2026000113,102.7378 ,01,2026000113,8,02,기타지역,2,30
-,2026000113,102.7378 ,01,2026000113,16,03,기타경기,2,30
3.30,2026000113,102.7378P,02,2026000113,33,01,해당지역,1,32
2.06,2026000113,102.7378P,02,2026000113,3,02,기타지역,1,32
6.00,2026000113,102.7378P,02,2026000113,13,03,기타경기,1,32
-,2026000113,102.7378P,02,2026000113,9,01,해당지역,2,32
-,2026000113,102.7378P,02,2026000113,2,02,기타지역,2,32
-,2026000113,102.7378P,02,2026000113,11,03,기타경기,2,32
5.39,2026000113,108.7178 ,03,2026000113,97,01,해당지역,1,59
5.62,2026000113,108.7178 ,03,2026000113,19,02,기타지역,1,59
13.00,2026000113,108.7178 ,03,2026000113,77,03,기타경기,1,59
